movieId,title,genres,title_lower,combined_text
1,Toy Story (1995),Adventure Animation Children Comedy Fantasy,toy story (1995),Toy Story (1995) Adventure Animation Children Comedy Fantasy
2,Jumanji (1995),Adventure Children Fantasy,jumanji (1995),Jumanji (1995) Adventure Children Fantasy
3,Grumpier Old Men (1995),Comedy Romance,grumpier old men (1995),Grumpier Old Men (1995) Comedy Romance
4,Waiting to Exhale (1995),Comedy Drama Romance,waiting to exhale (1995),Waiting to Exhale (1995) Comedy Drama Romance
5,Father of the Bride Part II (1995),Comedy,father of the bride part ii (1995),Father of the Bride Part II (1995) Comedy
6,Heat (1995),Action Crime Thriller,heat (1995),Heat (1995) Action Crime Thriller
7,Sabrina (1995),Comedy Romance,sabrina (1995),Sabrina (1995) Comedy Romance
8,Tom and Huck (1995),Adventure Children,tom and huck (1995),Tom and Huck (1995) Adventure Children
9,Sudden Death (1995),Action,sudden death (1995),Sudden Death (1995) Action
10,GoldenEye (1995),Action Adventure Thriller,goldeneye (1995),GoldenEye (1995) Action Adventure Thriller
11,"American President, The (1995)",Comedy Drama Romance,"american president, the (1995)","American President, The (1995) Comedy Drama Romance"
12,Dracula: Dead and Loving It (1995),Comedy Horror,dracula: dead and loving it (1995),Dracula: Dead and Loving It (1995) Comedy Horror
13,Balto (1995),Adventure Animation Children,balto (1995),Balto (1995) Adventure Animation Children
14,Nixon (1995),Drama,nixon (1995),Nixon (1995) Drama
15,Cutthroat Island (1995),Action Adventure Romance,cutthroat island (1995),Cutthroat Island (1995) Action Adventure Romance
16,Casino (1995),Crime Drama,casino (1995),Casino (1995) Crime Drama
17,Sense and Sensibility (1995),Drama Romance,sense and sensibility (1995),Sense and Sensibility (1995) Drama Romance
18,Four Rooms (1995),Comedy,four rooms (1995),Four Rooms (1995) Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy,ace ventura: when nature calls (1995),Ace Ventura: When Nature Calls (1995) Comedy
20,Money Train (1995),Action Comedy Crime Drama Thriller,money train (1995),Money Train (1995) Action Comedy Crime Drama Thriller
21,Get Shorty (1995),Comedy Crime Thriller,get shorty (1995),Get Shorty (1995) Comedy Crime Thriller
22,Copycat (1995),Crime Drama Horror Mystery Thriller,copycat (1995),Copycat (1995) Crime Drama Horror Mystery Thriller
23,Assassins (1995),Action Crime Thriller,assassins (1995),Assassins (1995) Action Crime Thriller
24,Powder (1995),Drama Sci-Fi,powder (1995),Powder (1995) Drama Sci-Fi
25,Leaving Las Vegas (1995),Drama Romance,leaving las vegas (1995),Leaving Las Vegas (1995) Drama Romance
26,Othello (1995),Drama,othello (1995),Othello (1995) Drama
27,Now and Then (1995),Children Drama,now and then (1995),Now and Then (1995) Children Drama
28,Persuasion (1995),Drama Romance,persuasion (1995),Persuasion (1995) Drama Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure Drama Fantasy Mystery Sci-Fi,"city of lost children, the (cité des enfants perdus, la) (1995)","City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime Drama,shanghai triad (yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama
31,Dangerous Minds (1995),Drama,dangerous minds (1995),Dangerous Minds (1995) Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery Sci-Fi Thriller,twelve monkeys (a.k.a. 12 monkeys) (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995) Mystery Sci-Fi Thriller
33,Wings of Courage (1995),Adventure Romance IMAX,wings of courage (1995),Wings of Courage (1995) Adventure Romance IMAX
34,Babe (1995),Children Drama,babe (1995),Babe (1995) Children Drama
35,Carrington (1995),Drama Romance,carrington (1995),Carrington (1995) Drama Romance
36,Dead Man Walking (1995),Crime Drama,dead man walking (1995),Dead Man Walking (1995) Crime Drama
37,Across the Sea of Time (1995),Documentary IMAX,across the sea of time (1995),Across the Sea of Time (1995) Documentary IMAX
38,It Takes Two (1995),Children Comedy,it takes two (1995),It Takes Two (1995) Children Comedy
39,Clueless (1995),Comedy Romance,clueless (1995),Clueless (1995) Comedy Romance
40,"Cry, the Beloved Country (1995)",Drama,"cry, the beloved country (1995)","Cry, the Beloved Country (1995) Drama"
41,Richard III (1995),Drama War,richard iii (1995),Richard III (1995) Drama War
42,Dead Presidents (1995),Action Crime Drama,dead presidents (1995),Dead Presidents (1995) Action Crime Drama
43,Restoration (1995),Drama,restoration (1995),Restoration (1995) Drama
44,Mortal Kombat (1995),Action Adventure Fantasy,mortal kombat (1995),Mortal Kombat (1995) Action Adventure Fantasy
45,To Die For (1995),Comedy Drama Thriller,to die for (1995),To Die For (1995) Comedy Drama Thriller
46,How to Make an American Quilt (1995),Drama Romance,how to make an american quilt (1995),How to Make an American Quilt (1995) Drama Romance
47,Seven (a.k.a. Se7en) (1995),Mystery Thriller,seven (a.k.a. se7en) (1995),Seven (a.k.a. Se7en) (1995) Mystery Thriller
48,Pocahontas (1995),Animation Children Drama Musical Romance,pocahontas (1995),Pocahontas (1995) Animation Children Drama Musical Romance
49,When Night Is Falling (1995),Drama Romance,when night is falling (1995),When Night Is Falling (1995) Drama Romance
50,"Usual Suspects, The (1995)",Crime Mystery Thriller,"usual suspects, the (1995)","Usual Suspects, The (1995) Crime Mystery Thriller"
51,Guardian Angel (1994),Action Drama Thriller,guardian angel (1994),Guardian Angel (1994) Action Drama Thriller
52,Mighty Aphrodite (1995),Comedy Drama Romance,mighty aphrodite (1995),Mighty Aphrodite (1995) Comedy Drama Romance
53,Lamerica (1994),Adventure Drama,lamerica (1994),Lamerica (1994) Adventure Drama
54,"Big Green, The (1995)",Children Comedy,"big green, the (1995)","Big Green, The (1995) Children Comedy"
55,Georgia (1995),Drama,georgia (1995),Georgia (1995) Drama
56,Kids of the Round Table (1995),Adventure Children Fantasy,kids of the round table (1995),Kids of the Round Table (1995) Adventure Children Fantasy
57,Home for the Holidays (1995),Drama,home for the holidays (1995),Home for the Holidays (1995) Drama
58,"Postman, The (Postino, Il) (1994)",Comedy Drama Romance,"postman, the (postino, il) (1994)","Postman, The (Postino, Il) (1994) Comedy Drama Romance"
59,"Confessional, The (Confessionnal, Le) (1995)",Drama Mystery,"confessional, the (confessionnal, le) (1995)","Confessional, The (Confessionnal, Le) (1995) Drama Mystery"
60,"Indian in the Cupboard, The (1995)",Adventure Children Fantasy,"indian in the cupboard, the (1995)","Indian in the Cupboard, The (1995) Adventure Children Fantasy"
61,Eye for an Eye (1996),Drama Thriller,eye for an eye (1996),Eye for an Eye (1996) Drama Thriller
62,Mr. Holland's Opus (1995),Drama,mr. holland's opus (1995),Mr. Holland's Opus (1995) Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy Crime,don't be a menace to south central while drinking your juice in the hood (1996),Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) Comedy Crime
64,Two if by Sea (1996),Comedy Romance,two if by sea (1996),Two if by Sea (1996) Comedy Romance
65,Bio-Dome (1996),Comedy,bio-dome (1996),Bio-Dome (1996) Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action Sci-Fi Thriller,lawnmower man 2: beyond cyberspace (1996),Lawnmower Man 2: Beyond Cyberspace (1996) Action Sci-Fi Thriller
67,Two Bits (1995),Drama,two bits (1995),Two Bits (1995) Drama
68,French Twist (Gazon maudit) (1995),Comedy Romance,french twist (gazon maudit) (1995),French Twist (Gazon maudit) (1995) Comedy Romance
69,Friday (1995),Comedy,friday (1995),Friday (1995) Comedy
70,From Dusk Till Dawn (1996),Action Comedy Horror Thriller,from dusk till dawn (1996),From Dusk Till Dawn (1996) Action Comedy Horror Thriller
71,Fair Game (1995),Action,fair game (1995),Fair Game (1995) Action
72,Kicking and Screaming (1995),Comedy Drama,kicking and screaming (1995),Kicking and Screaming (1995) Comedy Drama
73,"Misérables, Les (1995)",Drama War,"misérables, les (1995)","Misérables, Les (1995) Drama War"
74,Bed of Roses (1996),Drama Romance,bed of roses (1996),Bed of Roses (1996) Drama Romance
75,Big Bully (1996),Comedy Drama,big bully (1996),Big Bully (1996) Comedy Drama
76,Screamers (1995),Action Sci-Fi Thriller,screamers (1995),Screamers (1995) Action Sci-Fi Thriller
77,Nico Icon (1995),Documentary,nico icon (1995),Nico Icon (1995) Documentary
78,"Crossing Guard, The (1995)",Action Crime Drama Thriller,"crossing guard, the (1995)","Crossing Guard, The (1995) Action Crime Drama Thriller"
79,"Juror, The (1996)",Drama Thriller,"juror, the (1996)","Juror, The (1996) Drama Thriller"
80,"White Balloon, The (Badkonake sefid) (1995)",Children Drama,"white balloon, the (badkonake sefid) (1995)","White Balloon, The (Badkonake sefid) (1995) Children Drama"
81,Things to Do in Denver When You're Dead (1995),Crime Drama Romance,things to do in denver when you're dead (1995),Things to Do in Denver When You're Dead (1995) Crime Drama Romance
82,Antonia's Line (Antonia) (1995),Comedy Drama,antonia's line (antonia) (1995),Antonia's Line (Antonia) (1995) Comedy Drama
83,Once Upon a Time... When We Were Colored (1995),Drama Romance,once upon a time... when we were colored (1995),Once Upon a Time... When We Were Colored (1995) Drama Romance
84,Last Summer in the Hamptons (1995),Comedy Drama,last summer in the hamptons (1995),Last Summer in the Hamptons (1995) Comedy Drama
85,Angels and Insects (1995),Drama Romance,angels and insects (1995),Angels and Insects (1995) Drama Romance
86,White Squall (1996),Action Adventure Drama,white squall (1996),White Squall (1996) Action Adventure Drama
87,Dunston Checks In (1996),Children Comedy,dunston checks in (1996),Dunston Checks In (1996) Children Comedy
88,Black Sheep (1996),Comedy,black sheep (1996),Black Sheep (1996) Comedy
89,Nick of Time (1995),Action Thriller,nick of time (1995),Nick of Time (1995) Action Thriller
90,"Journey of August King, The (1995)",Drama,"journey of august king, the (1995)","Journey of August King, The (1995) Drama"
92,Mary Reilly (1996),Drama Horror Thriller,mary reilly (1996),Mary Reilly (1996) Drama Horror Thriller
93,Vampire in Brooklyn (1995),Comedy Horror Romance,vampire in brooklyn (1995),Vampire in Brooklyn (1995) Comedy Horror Romance
94,Beautiful Girls (1996),Comedy Drama Romance,beautiful girls (1996),Beautiful Girls (1996) Comedy Drama Romance
95,Broken Arrow (1996),Action Adventure Thriller,broken arrow (1996),Broken Arrow (1996) Action Adventure Thriller
96,In the Bleak Midwinter (1995),Comedy Drama,in the bleak midwinter (1995),In the Bleak Midwinter (1995) Comedy Drama
97,"Hate (Haine, La) (1995)",Crime Drama,"hate (haine, la) (1995)","Hate (Haine, La) (1995) Crime Drama"
98,Shopping (1994),Action Thriller,shopping (1994),Shopping (1994) Action Thriller
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,heidi fleiss: hollywood madam (1995),Heidi Fleiss: Hollywood Madam (1995) Documentary
100,City Hall (1996),Drama Thriller,city hall (1996),City Hall (1996) Drama Thriller
101,Bottle Rocket (1996),Adventure Comedy Crime Romance,bottle rocket (1996),Bottle Rocket (1996) Adventure Comedy Crime Romance
102,Mr. Wrong (1996),Comedy,mr. wrong (1996),Mr. Wrong (1996) Comedy
103,Unforgettable (1996),Mystery Sci-Fi Thriller,unforgettable (1996),Unforgettable (1996) Mystery Sci-Fi Thriller
104,Happy Gilmore (1996),Comedy,happy gilmore (1996),Happy Gilmore (1996) Comedy
105,"Bridges of Madison County, The (1995)",Drama Romance,"bridges of madison county, the (1995)","Bridges of Madison County, The (1995) Drama Romance"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy Drama,nobody loves me (keiner liebt mich) (1994),Nobody Loves Me (Keiner liebt mich) (1994) Comedy Drama
107,Muppet Treasure Island (1996),Adventure Children Comedy Musical,muppet treasure island (1996),Muppet Treasure Island (1996) Adventure Children Comedy Musical
108,Catwalk (1996),Documentary,catwalk (1996),Catwalk (1996) Documentary
109,Headless Body in Topless Bar (1995),Comedy Drama Thriller,headless body in topless bar (1995),Headless Body in Topless Bar (1995) Comedy Drama Thriller
110,Braveheart (1995),Action Drama War,braveheart (1995),Braveheart (1995) Action Drama War
111,Taxi Driver (1976),Crime Drama Thriller,taxi driver (1976),Taxi Driver (1976) Crime Drama Thriller
112,Rumble in the Bronx (Hont faan kui) (1995),Action Adventure Comedy Crime,rumble in the bronx (hont faan kui) (1995),Rumble in the Bronx (Hont faan kui) (1995) Action Adventure Comedy Crime
113,Before and After (1996),Drama Mystery,before and after (1996),Before and After (1996) Drama Mystery
114,Margaret's Museum (1995),Drama,margaret's museum (1995),Margaret's Museum (1995) Drama
115,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy,"happiness is in the field (bonheur est dans le pré, le) (1995)","Happiness Is in the Field (Bonheur est dans le pré, Le) (1995) Comedy"
116,Anne Frank Remembered (1995),Documentary,anne frank remembered (1995),Anne Frank Remembered (1995) Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime Drama,"young poisoner's handbook, the (1995)","Young Poisoner's Handbook, The (1995) Crime Drama"
118,If Lucy Fell (1996),Comedy Romance,if lucy fell (1996),If Lucy Fell (1996) Comedy Romance
119,"Steal Big, Steal Little (1995)",Comedy,"steal big, steal little (1995)","Steal Big, Steal Little (1995) Comedy"
120,Race the Sun (1996),Adventure Comedy Drama,race the sun (1996),Race the Sun (1996) Adventure Comedy Drama
121,"Boys of St. Vincent, The (1992)",Drama,"boys of st. vincent, the (1992)","Boys of St. Vincent, The (1992) Drama"
122,Boomerang (1992),Comedy Romance,boomerang (1992),Boomerang (1992) Comedy Romance
123,Chungking Express (Chung Hing sam lam) (1994),Drama Mystery Romance,chungking express (chung hing sam lam) (1994),Chungking Express (Chung Hing sam lam) (1994) Drama Mystery Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,"star maker, the (uomo delle stelle, l') (1995)","Star Maker, The (Uomo delle stelle, L') (1995) Drama"
125,Flirting With Disaster (1996),Comedy,flirting with disaster (1996),Flirting With Disaster (1996) Comedy
126,"NeverEnding Story III, The (1994)",Adventure Children Fantasy,"neverending story iii, the (1994)","NeverEnding Story III, The (1994) Adventure Children Fantasy"
127,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama,"silences of the palace, the (saimt el qusur) (1994)","Silences of the Palace, The (Saimt el Qusur) (1994) Drama"
128,Jupiter's Wife (1994),Documentary,jupiter's wife (1994),Jupiter's Wife (1994) Documentary
129,Pie in the Sky (1996),Comedy Romance,pie in the sky (1996),Pie in the Sky (1996) Comedy Romance
130,Angela (1995),Drama,angela (1995),Angela (1995) Drama
131,Frankie Starlight (1995),Drama Romance,frankie starlight (1995),Frankie Starlight (1995) Drama Romance
132,Jade (1995),Thriller,jade (1995),Jade (1995) Thriller
133,Nueba Yol (1995),Comedy Drama,nueba yol (1995),Nueba Yol (1995) Comedy Drama
134,Sonic Outlaws (1995),Documentary,sonic outlaws (1995),Sonic Outlaws (1995) Documentary
135,Down Periscope (1996),Comedy,down periscope (1996),Down Periscope (1996) Comedy
136,From the Journals of Jean Seberg (1995),Documentary,from the journals of jean seberg (1995),From the Journals of Jean Seberg (1995) Documentary
137,Man of the Year (1995),Documentary,man of the year (1995),Man of the Year (1995) Documentary
138,"Neon Bible, The (1995)",Drama,"neon bible, the (1995)","Neon Bible, The (1995) Drama"
139,Target (1995),Action Drama,target (1995),Target (1995) Action Drama
140,Up Close and Personal (1996),Drama Romance,up close and personal (1996),Up Close and Personal (1996) Drama Romance
141,"Birdcage, The (1996)",Comedy,"birdcage, the (1996)","Birdcage, The (1996) Comedy"
